content,board
 今天真的很開心，收到小米官網上訂的東西，  下單不到兩天就到貨了，寄貨速度真的很快速，  從官網買了兩個東西，藍芽耳機跟藍芽喇叭，  打開盒子，看到藍芽耳機真的很驚喜，畫面上顯示是愛心型，  真的好美阿!!!!!  打開包裝真的能感受小米，很用心在設計，  再來是藍芽喇叭，試聽音質也不錯，  重點可以連續撥放快10小時，真的很讓人驚豔，  希望今天買的東西，可以用久久，讓我好心情持下到下星期一上班!!!!  ,happy
 本來已經放棄了 儘管還是會想起妳 可是不聯絡的時候 好像漸漸的可以放下 但妳給我訊息後 又突然聊到了凌晨 然後 又開始忽冷忽熱的  其實這半年我過得很痛苦 我開始吸菸 酗酒 只因為心裡的憂愁無法排解 分不清到底是不是喜歡 還是對你的執念   好想狠下心來 突然的封鎖 從此我不再看到妳的訊息 我們之間 也不要有聯絡了 但又做不到 為什麼變得這麼卑微 難道喜歡你就該如此嗎  既然不喜歡我 但妳又知道 知道我喜歡妳 為什麼不放過我？  我好困惑   ,hate
 熱的時候心亂如麻  冷卻之後看自己傻的可笑  落得一身傷痕  一個人三個月  沈澱後能不能放下悲傷不平靜  為自己飛翔   -- Sent from my Android  ,sad
 想跟男友講講話的時候 男朋友一臉不耐 這樣還能講嗎？ （當時他並沒有什麼事在忙）  請問有誰能教教我嗎？  ,sad
 最近不愛用文字聊天  我喜歡用語音跟對方大聊特聊  大罵特罵  比較有直接面對面的感覺   最近跟妳聊天總是可以聽到超級有活力的 哈囉!!!!  那種感覺絕對不是敷衍  聽到總是覺得心情大好  這也開始讓我反省我總是喜歡冷冷又靜謐的開場  嗯?怎麼了  這樣太無趣了啦  我一定也要把這份歡樂傳遞下去  接下來跟我聊天的人都會聽到我開心活力的 哈囉哦!!!   --  ,happy
 早上又睡到九點半 不行惹只能起床   希望明天可以更早ㄟ   ,hate
 因為是你 唱這首歌的時候會想到誰   沒吃午餐 也沒特別餓 看來最近是塞了太多東西在肚子了-.-     ,hate
 今天這個天氣剛剛好的說 20度上下不熱涼涼的好舒服 不用穿著很厚的衣服出門好輕便 要是以後都這種天氣該有多好啊>< 夏天不要來啦  ,happy
  人生鳥事怎麼這麼多 好不順心 什麼時候才能過的幸福阿？ 幹幹幹幹幹幹幹 幹幹幹幹幹幹幹 他媽的臭人生  ,hate
 本來晚上要去泡腳，結果現在下大雨TAT 晚上不知道能不能去 拜託雨趕快停…….  ,sad
 我們班有人確診  結果現在整班要停課  我不想再每天待在家裡了  又要一個禮拜停課  煩死  ,hate
  一段關係中難免會有爭執， 而在氣頭上或多或少都會有口氣不好的情況。  尤其是文字，沒有面對面溝通就很容易解讀成負面的語氣。  或許不只是我，妳也在一次次的爭執中深深的被我傷到。  平常無心的一句話都有可能會傷到人， 更何況是充滿惡意脫口而出的話語， 就像一把利刃一般一刀刀的畫出並加深傷口的深度。  雖然傷害已造成， 但在這次的爭執中我有感覺到你的變化。 而且是往好的方向，這真的是一個好的開始。  希望我們彼此都能努力，成為更好、更適合彼此的一個人。  ----- Sent from JPTT on my Xiaomi M2010J19CG.  ,sad
 其實我早有心理準備 但仍保有一絲絲的自尊與期待  我以為我會哭得死去活來 或是憂鬱一整個月 然而今天得知事實後 居然沒有我想像中的難過  取而代之的 是心死 以及彷彿報了仇的快感  唯一難過的點是 原來我真的是那個傻瓜 那個像唱著獨角戲一樣 痴痴等待時間流逝的傻瓜  只想跟你說 你當初怎麼待人 別人現在就怎麼待你  今天你會這樣 只是剛好而已   you deserve it 報應啦    ,sad
  太開心了！！！！  每天都緊迫盯人的婆婆終於回台灣了   連續十天，每天都要在公婆起床之前準備好早餐， 還要預先想好三餐吃什麼  除了煮飯、洗碗、洗衣、打掃，都要我自己做， 還要無時無刻跟公婆討論公司的事情， 聽一堆無聊的廢話， 終於熬過十天，他們離開我家了～超HAPPY   ,happy
 瞎聊中，聽著妳的過去，卻還是會在意了起來 一定是今天腦中一堆事情卡住才會這樣， 不然有什麼好在乎的， 也只有你才會讓我有這樣的感受， 能做的，就是像現在一樣堅持下去， 不知道結束是什麼時候， 早點；晚點  ,sad
     也罷    今天洗頭赫然發現 頭頂半個頭感覺好像不見了  這讓我感覺 大概還要再半年的時間 才會完全恢復吧  哀    今天開心的事是 發現鬱悶的時候 開口唱一些歪歌(阿彌陀佛+國父歌)  可以抒發鬱悶   ,happy
  在忙碌的下課後， 冷颼颼的氣候變化， 回到家中，品嚐一杯溫暖的咖啡， 搭配一塊起士蛋糕， 真是滿足幸福的小確幸啊！  ----- Sent from JPTT on my Sony D5833.  ,happy
 父母哥哥都嫌我醜 我喜歡的人從來都不會喜歡我 我就是個醜女 死花癡 只不過是一張臉皮 為什麼會讓人痛苦一輩子 老天為何要讓醜女誕生在世上 世界上都是美女 大家都幸福 多好 好想消失  ,sad
 本王 已經不舒服很多天了  每天天黑就發燒頭痛 今天又肚子痛 大便又是沒下文  白天又是一尾活龍 趕羚羊  確診還有雞可尋 我是毫無頭緒 見鬼了  洗了艾草感覺還可以 呼    ,hate
 天空很藍  雲很高 沒有壓迫感  陽光因為些許雲層不會太強烈  舒服的風  禮拜一ㄧ早的小確幸  ,happy
 即使明白有時候要笑起來必須花上我很多的力氣 傷心就留給我今天的自己 今天找了教授說了話，感冒喉嚨乾澀，說我好好繼續加油，我好像太累了 有時候 我仍然討厭無情的家人，可是又不知從何談起 我身心上負面的陰影一直存在著 對於你說了很久的對不起，我不知該怎麼原諒你 和時間賽跑的我，趕在末日前去尋筧一絲的快樂 此刻脆弱的claire我 流淚是合理的吧 抗癌的日子過的非常不好 很想回正常人的日子，但是這段路離我還非常的遙遠 我想許一個願，盡自己的事，珍惜熱愛一切 雖我的癌讓我身體疼痛一直持續著，痛著 有時在好友來醫院看我時，我已知家人的漠視和冷淡為習慣 其實假裝堅強也沒有這麼重要了 不知道從哪裡來的力氣把眼淚全部逼了回去 再怎樣脆弱的我 還是盡量不要再朋友前面表現出來 今天 又覺得活著有點無奈  ,sad
  怎麼辦？  好像已經無法再愛人了耶  有越來越宅的現象  ,sad
  是沒有其他廣告了嗎？ 每次都看到這個廣告 幹  ----- Sent from JPTT on my Asus ASUS_X00TDB.  ,hate
 喔~想起要記錄每個周年的時候，  竟然跳過了這麼多年，  還默默的算了一下並且驗算。  不可置信的看著7這個數字，  原來這麼久了啊~   ,happy
 很藍受  很香菇  想說  用D卡看可不可以有沒有  抽到一個還不錯的女生  然後可以聊天之類的  結果  抽到我國中同學  還男的  我傻眼  這機率多小  這樣太危險QQ  藍受  香菇  用D卡想抽個女森都不行  注定單身一世人QQ  ,sad
   哈哈哈 今天是星期五啦! 天王老子都阻止不了我過個開心的週末囉~~^^   這禮拜簡直超順的啦! 呵~~~交上去的東西長官沒有挑三揀四的，也順利   地過關了；然後那個平常我看他很不爽的同事，今天也出包被長官罵得狗   血淋頭，呵呵~~正所謂惡人還要惡人治啊! 哈~~怎樣，踢到鐵板了吧!   還有今晚去某餐廳吃的排骨麵，超好吃的呀! 而且才90元而已，價格算是   蠻公道的~~只是要等約十分鐘就是了，但還是很值得...   下次還要再去這一家吃 ^^  ,happy
 我習慣有話就講    卻總是後悔話不經修飾而傷人 你習慣當下逃離冷靜武裝自己， 但你是最耐不住寂寞的人  我們都知道對方最害怕的事情 也總是後悔自己的衝動  但為什麼卻總要在情緒失控的時候 拿自己最殘忍的武器來攻擊對方最無法抵抗的弱點呢  ,sad
 一直以來以為自己很堅強  直到聽到生病住院的消息  回去看到躺在病床上的她  並且扶著她 看到吃力走路的樣子  發現自己其實有無限的感傷    明明知道最後是個必然的結果  但自己卻又無能為力  覺得生命真的非常脆弱  同時也害怕著   就算大哭一場 也什麼事都改變不了  ,sad
 終於熬到星期四了～ 今天晚上和閨蜜約好要去看上電影 順便去想吃很久餐廳 好久沒和她見面 期待ing:)  ,happy
 因為對於朋友的定義不同，傷害了他跟我自己  我從去年認識了一位網友 每天都會聊天電話 （除了他在家以外，只能上班聊天）  他說他把我當成交心的朋友 我說我不曾把他當成朋友，因為網友沒見面我無法真正的把一個虛的人當成朋友。因為見 了面後，很多觀點會改變...所以在沒見面之前，我的定義一直都是聊天的對象  我傷害了他 我也好難過...但是我跟他的聊天，相處就真的跟一般朋友一樣，但是對於我來說，沒見面 過都是虛  我知道我活該... 但是我真的好難過 如果我昨天沒這樣講話 現在我們還能開心的聊天   ,sad
 生活上種種小事累積壓得自己快喘不過氣，有些心事無法向朋友訴苦，只能憋在心裡，  每天面對小孩總覺得有發不完的脾氣，偏偏小孩在家備受呵護，弄得我很難教，  覺得心裡很悶，很想去類似夜店的地方聽著很大聲的重低音音樂，宣洩自己心裡的煩悶， 但還是因為小孩，沒辦法去，覺得心煩覺得厭世  ,sad
 最近都要檢查一下手機訊息， 避免有訂單沒有處理， 或是私訊沒有處理。 今天一如往常的， 睡醒午覺就滑一下手機， 看一下有無網拍的訊息通知， 結果看到兩筆新訂單要處理， 其中一筆是回頭客， 這次買了一千元的訂單， 所以我就多送了一一些東西給他， 超爽！ 而且感覺是有禮貌的客人， 不像是某帳號， 買個100元的商品， 沒有即時回覆而已就取消訂單， 這種奧客已經拉黑， 不接也罷， 大概是這樣， 目前距離回本， 越來越近了！ 大概就這樣!  ,happy
 今天回家遇到小鮮肉>< 而且聊了好久 真的太開心啦 一掃這段日子以來的陰霾 希望之後常常可以遇到╮(╯▽╰)╭  ,happy
"  偏偏這個時候  身邊朋友不是陪家人、陪老婆就是陪女朋友  少許地無助的時候  才發現自己竟然如此淒涼  本來想一如往常在睡夢中跨年  我看也難了  不然就是不知何時哭累地睡著   好矛盾  平時總在朋友面前堅強  現在想要有人陪，又不敢讓人陪  就怕眼淚撲簌簌地掉不停嚇壞人家  就算找個陌生人  也不會有陌生人想在跨年夜  陪一個莫名哭泣的人，然後被帶衰吧...   為什麼覺得好累  為什麼覺得人生好難  為什麼不甘命運擺布，又被玩弄其中  真的是我任性嗎???  替別人想一大堆，誰又來替我想  我又是做錯了什麼???  可不可以來人告訴我  Or please, kill me.  ",sad
 之前在網路上又看到一個邊緣人的等級分格表 類似自己一人吃飯（一等 自己一人看電影（五等  之類的。。。  其中影響最深刻是一個人搬家和一個人去做手術（十等！  今年下半年幾乎就經歷了表格上所有的事情QQ  一個人在台北的生活真是不容易啊 尤其是生病的時候，真的特別想老家， 而且一個人躺在床上，真的會想這樣到底值不值得  。 。 。 。 。 大家加油吧~  從醫院出來的第二天  ,sad
 udemy最近這幾天都不特價  我這樣要怎麼買課RRRRR  我要怎麼學突然燃起來的EDM魂  RRRRR  還是udemy其實很久沒特價  我早就被楊桃沙了  哭阿  udemy快特價阿阿  ,hate
   我以為死過一次就能是個新新的人 從此以後做新新的夢  沒想到在什麼徵兆都沒有的現在 我卻突然掉進漩渦 像是快要消失的人。  其實我有時候很討厭看醫生 因為我覺得我很差勁 連面對醫生都沒辦法說實話 這種感覺 好累  好像世界上再也沒有一個能夠好好依靠的人。  ,sad
 幹 研究半天  之前老媽去問超商說要電子發票證明聯  要去找電信業者開  然後電信櫃檯說要加你們的app列印三小的  感覺很麻煩  查一下還有什麼財政部手機條碼就去申請了  幹你娘 結果都用不到啊 浪費我時間  幹 我懷疑是一開始的超商店員不想幫我媽用  幹 手機Jptt不會發錢啦  什麼歸戶那個也不想用啦  畢竟對發票是長輩閒閒沒事的樂趣  幹 明天又要上班了 雞掰  睡覺還夢到調單位 看來我不是很適合這單位  哭啊 要是中個50萬我就能離職再廢一年了   ----- Sent from JPTT on my iPhone  -- → ping8019:147他是超級大帥哥!!即使別人都說我瞎了眼...05/05 23:39  ,hate
 幹 今天弄垃圾弄了一小時半  圈圈差差  剛坐下來汗還沒乾  現在要去搞別的事了  大概也要一兩小時吧  ( ︶︿︶)_╭∩╮  -- Q    ◢▲◣    ◢▲◣ S  ◢  \\██  //  ◣            發財發財 W 【'' )  ◢▄◣  ◢▄◣ ▎        發財發財 E ◥  |  ▼  ▍◢千◣ 發財發財 E ◥ \=== ︶︶    ===▎█万= 】 發財發財 T  ◥ ▃▃▃▃●▃▃▃▃ \◥両◤ 發財發財  ,hate
     頭痛、頭暈、喉嚨有痰、喉嚨痛、拉肚子、流鼻水     這些症狀，我回台灣時都有阿！     但入境時陰， 10+7快篩3陰，北聯醫pcr也是陰！    我能說什麼！     尼想太多惹！    ※ 引述《super1937 (豬可殺。不可滷)》之銘言： : 煩誒，因為家裡住基隆，雖然沒有接觸史， : 可是我現在頭痛、頭暈、喉嚨有痰、喉嚨痛、拉肚子、流鼻水， : 就只差沒有發燒跟咳嗽，自己篩結果是陰性，到底是我戳不夠深還是單純感冒而已 : 這時間感冒時間有點夠差的，煩誒，最近因為頭痛持續一段時間不敢打第二劑 : 壓力山大阿幹! : 拜託不要確診啦幹，等我打完疫苗了再得好嗎? 機掰  ,hate
 早上爬起來準時觀看ＷＢＣ  波波ＶＳ荷蘭 沒想到是荷蘭小分  我壓了184張 你怎麼對的起我啊波波  虧我那麼相信你  為什麼為什麼為什麼你打線沒有開火  ＷＨＹ？？不是應該讓我安穩的翻倍嗎  結果卻是破產到沒剩了欸  波波你這樣對嗎 你對的起相信你們的鄉民嗎  氣死我了 好不容易賺來的ＰＴＴ幣  一場之間 瞬間噴光 一張都不剩  哀波波啊你這樣不對拉  那場下你們大分的快50*10*10張欸  你們這樣太讓我們這些球迷傷心了  嗚我的ＰＴＴ幣...  嗚嗚  -- Digimon always exist in my heart.  ,sad
 聽說有個手球對學長? 職場有個 A男? B男? 表哥? 表弟? 還有個平頭髮的?? 都幾? 後來還有個打排球的? 一開始跟同學說不喜歡打球的當男友? 口嫌體正直? 都幾?  hen會編故事?? 類台彩公司出身?  怎麼貴圈那樣混亂啊? 難怪觀察後發現//// 平常的坐姿都怪怪der...!? 習慣了? 打開了? 想通了? 都幾?    補個幹!! 抄婊?   -- 第一、不要叫她溫柔 第二、不要讓她喝三杯以上，否則她會見人就打。 第三、在咖啡館一定要喝咖啡，不要喝可樂或橙汁。 第四、如果她打你，一定要裝得很痛，如果真的很痛，那要裝得沒事。 第五、在你們認識的第100天，一定要去她班上送她一支玫瑰，她會非常喜歡。 第六、你一定要會擊劍，打壁球。  ,hate
 一個週六 買了兩雙新鞋 買了兩杯星巴克 買了重乳酪蛋糕 吃了西批值超高的蒸餃 還有什麼更開心的呢  ,happy
 種的小盆栽開始被入侵了 明明就沒什麼好搬的 就是會一隻兩隻的跑來看  螞蟻好煩  ,hate
"   昨天，結束了，全部；失敗了，也是全部。 很累，很失神，昨天甚至把前兩節的內容搞錯... 幹... 想要好好放空一下，但是腦一直靜不下來。 想的都是那些沒有用的，幹......  工作、進修和感情，全部一次來，或者說... 因為現在情緒低落，所以想的都是比較負面的？ 總之，滿滿的挫敗感是肯定的... 尤其為了表現的沒事，還要打起精神， 讓自己跟平常一樣，結果更累...... 唉......  最煩的是，每天還要看到拍咪啊！幹！ 面對對方討厭你很難嗎？！ 我都可以接受我喜歡的人不喜歡我了！ 每天在那邊盧小，幹拎老師！ 整個人都快凋謝了，還要應付這個白癡！！  不能來個療癒型的人補充一下心靈能量嗎！？   ※ 編輯: visviva (112.104.85.37 臺灣), 02/12/2020 22:37:20 → evilaffair: 我就4 02/19 03:50 ",sad
 早上吃三顆蛋 會餓QQ 拿了抽屜裡的小零食吃 好辣喔 https://i.imgur.com/rIfLu01.jpg  ,hate
 幹 嚇到欸  今天怎麼每個人都這麼早來  怕怕的      然後已經在想晚餐要吃什麼   ,hate
  台北到台中 為什麼總是沒時間可以見面呢？ 為什麼總是要體諒跟忍耐跟了解？  好累 好想放棄  ----- Sent from JPTT on my Xiaomi POCOPHONE F1.  ,sad
 第一天見面的晚上 ，我們坐在車上聊天 ，一路從天黑聊到天亮。 下車前你親了我的臉頰 說好啦回家了 ，不要太想我。 回到家之後 ，你問我是不是喜歡你 ？我說嗯 我很喜歡你。 在車上問我同樣的問題，只是我不知道該怎麼回答。  前幾天的晚上 我們兩個坐在椅子上聊天 你突然非常靠近我 我下意識就直接親了上去 你也把我抱住了 而且抱的很緊 你在我耳邊說 為什麼要偷親我 非常害羞的說 我...很喜歡你  或許這一切都是我自己在幻想的你也不一定喜歡我 只是無聊沒事做 這幾天也好很多了 也不會一直在想你了  謝謝你的出現 我是真的很喜歡你，那你呢？   ,sad
 如果想要自由 連基本的反抗都不願意 那就想想未來幾十年 是否也可以這樣子忍耐下去 不然就好好思考替未來做打算 你的事情沒有那麼難解決 只是你說你懦弱 我該說你就好好巴結嗎 說了只是更打擊你而已   選錯了只是暫時的 人要會變通才能找到自己的幸福 還是你還在奢望對方給你的什麼嗎   ,sad
 你們兩個白癡，憑甚麼怪我？當年我最倒楣最潦倒的時候，你們還不是只顧玩自己的，  怎麼不見你們來關心一下幫幫忙？竟然現在還有臉來怪我？  特別是你，他沒大腦，缺乏遠見，你又不是不知道，怎麼跟著他一起耍白癡？  時機不好，你跟著那個白癡一起盲目轉進，於是你也成了白癡！  這是你到目前為止做過最令我意外的事：本來可以不用當白癡，卻搶著去當白癡。  結果一場辛勞以失敗收場，最後還不是便宜了那個誰（我不認識），  這不是擺明為他人作嫁嗎？  白忙一場，被白癡連累，拖下水去一起當白癡，好過癮是吧。  是我高估了你？還是你近年來嚴重退化？  算了，救不了你，你這種症候群是沒得醫的，好自為之吧！  ,hate
 這是什麼鬼  小碗滷肉飯現在要35了喔  幹幹幹  ,hate
 剛剛走去外面突然發現今天夕陽好美阿 前幾天不是陰天就是霧霾髒空氣都霧霧的 今天空氣真透 太陽灑下後更美  ,happy
